,order_number,reference,quantity,ship_out_date,arrival_date
144,WCI124221,R308404,414,,18.07.2022
145,WCI124221,R308404,0,,01.08.2022
146,WCI124221,R308404,414,,12.09.2022
147,WCI124221,R308404,414,,01.11.2021
148,WCI124221,R308404,0,,15.11.2021
149,WCI124221,R308404,414,,22.11.2021
150,WCI124221,R308404,0,,27.12.2021
151,WCI124221,R308404,414,,03.01.2022
152,WCI124221,R308404,0,,31.01.2022
153,WCI124221,R308404,414,,07.02.2022
154,WCI124221,R308404,0,,07.03.2022
155,WCI124221,R308404,414,,14.03.2022
156,WCI124221,R308404,414,,11.04.2022
157,WCI124221,R308404,0,,16.05.2022
158,WCI124221,R308404,414,,23.05.2022
159,WCI124221,R308404,414,,20.06.2022
160,WCI124221,R308404,414,,08.08.2022
161,WCI124221,R308404,414,,01.11.2021
162,WCI124221,R308404,414,,15.11.2021
163,WCI124221,R308404,414,,10.01.2022
164,WCI124221,R308404,0,,17.01.2022
165,WCI124221,R308404,414,,14.02.2022
166,WCI124221,R308404,0,,21.02.2022
167,WCI124221,R308404,414,,21.03.2022
168,WCI124221,R308404,0,,28.03.2022
169,WCI124221,R308404,414,,18.04.2022
170,WCI124221,R308404,0,,02.05.2022
171,WCI124221,R308404,414,,30.05.2022
172,WCI124221,R308404,0,,06.06.2022
173,WCI124221,R308404,414,,11.07.2022
174,WCI124221,R308404,0,,18.07.2022
175,WCI124221,R308404,414,,15.08.2022
176,WCI124221,R308404,0,,12.09.2022
177,WCI124221,R308404,414,,01.11.2021
178,WCI124221,R308404,414,,15.11.2021
179,WCI124221,R308404,414,,10.01.2022
180,WCI124221,R308404,0,,17.01.2022
181,WCI124221,R308404,414,,14.02.2022
182,WCI124221,R308404,0,,21.02.2022
183,WCI124221,R308404,414,,21.03.2022
184,WCI124221,R308404,0,,28.03.2022
185,WCI124221,R308404,414,,18.04.2022
186,WCI124221,R308404,0,,02.05.2022
187,WCI124221,R308404,414,,30.05.2022
188,WCI124221,R308404,0,,06.06.2022
189,WCI124221,R308404,414,,11.07.2022
190,WCI124221,R308404,0,,18.07.2022
191,WCI124221,R308404,414,,15.08.2022
192,WCI124221,R308404,0,,12.09.2022
193,WCI124221,R308404,414,,01.11.2021
194,WCI124221,R308404,414,,15.11.2021
195,WCI124221,R308404,414,,03.01.2022
196,WCI124221,R308404,0,,10.01.2022
197,WCI124221,R308404,414,,14.02.2022
198,WCI124221,R308404,414,,07.03.2022
199,WCI124221,R308404,0,,21.03.2022
200,WCI124221,R308404,414,,18.04.2022
201,WCI124221,R308404,414,,30.05.2022
202,WCI124221,R308404,414,,11.07.2022
203,WCI124221,R308404,414,,15.08.2022
204,WCI124221,R308404,414,,01.11.2021
205,WCI124221,R308404,414,,15.11.2021
206,WCI124221,R308404,414,,03.01.2022
207,WCI124221,R308404,0,,10.01.2022
208,WCI124221,R308404,414,,14.02.2022
209,WCI124221,R308404,414,,07.03.2022
210,WCI124221,R308404,0,,21.03.2022
211,WCI124221,R308404,414,,18.04.2022
212,WCI124221,R308404,414,,30.05.2022
213,WCI124221,R308404,414,,11.07.2022
214,WCI124221,R308404,414,,15.08.2022
215,WCI124221,R308404,414,,15.11.2021
216,WCI124221,R308404,0,,03.01.2022
217,WCI124221,R308404,414,,17.01.2022
218,WCI124221,R308404,414,,14.02.2022
219,WCI124221,R308404,0,,07.03.2022
220,WCI124221,R308404,414,,28.03.2022
221,WCI124221,R308404,0,,18.04.2022
222,WCI124221,R308404,414,,25.04.2022
223,WCI124221,R308404,414,,30.05.2022
224,WCI124221,R308404,414,,11.07.2022
225,WCI124221,R308404,414,,15.08.2022
226,WCI124221,R308404,414,,10.10.2022
227,WCI124221,R308404,414,,15.11.2021
228,WCI124221,R308404,0,,03.01.2022
229,WCI124221,R308404,414,,17.01.2022
230,WCI124221,R308404,414,,14.02.2022
231,WCI124221,R308404,0,,07.03.2022
232,WCI124221,R308404,414,,28.03.2022
233,WCI124221,R308404,0,,18.04.2022
234,WCI124221,R308404,414,,25.04.2022
235,WCI124221,R308404,414,,30.05.2022
236,WCI124221,R308404,414,,11.07.2022
237,WCI124221,R308404,414,,15.08.2022
238,WCI124221,R308404,414,,10.10.2022
239,WCI124221,R308404,414,,15.11.2021
240,WCI124221,R308404,414,,17.01.2022
241,WCI124221,R308404,414,,14.02.2022
242,WCI124221,R308404,414,,28.03.2022
243,WCI124221,R308404,414,,25.04.2022
244,WCI124221,R308404,0,,30.05.2022
245,WCI124221,R308404,414,,06.06.2022
246,WCI124221,R308404,0,,11.07.2022
247,WCI124221,R308404,414,,18.07.2022
248,WCI124221,R308404,414,,15.08.2022
249,WCI124221,R308404,414,,10.10.2022
250,WCI124221,R308404,414,,15.11.2021
251,WCI124221,R308404,414,,17.01.2022
252,WCI124221,R308404,0,,14.02.2022
253,WCI124221,R308404,414,,28.02.2022
254,WCI124221,R308404,414,,28.03.2022
255,WCI124221,R308404,0,,25.04.2022
256,WCI124221,R308404,414,,09.05.2022
257,WCI124221,R308404,0,,06.06.2022
258,WCI124221,R308404,414,,20.06.2022
259,WCI124221,R308404,414,,18.07.2022
260,WCI124221,R308404,414,,08.08.2022
261,WCI124221,R308404,0,,15.08.2022
262,WCI124221,R308404,414,,26.09.2022
263,WCI124221,R308404,0,,10.10.2022
264,WCI124221,R308404,414,,15.11.2021
265,WCI124221,R308404,414,,17.01.2022
266,WCI124221,R308404,414,,28.02.2022
267,WCI124221,R308404,414,,28.03.2022
268,WCI124221,R308404,414,,09.05.2022
269,WCI124221,R308404,414,,20.06.2022
270,WCI124221,R308404,414,,18.07.2022
271,WCI124221,R308404,414,,08.08.2022
272,WCI124221,R308404,414,,26.09.2022
273,WCI124221,R308404,414,,31.10.2022
274,WCI124221,R308404,414,,15.11.2021
275,WCI124221,R308404,414,,17.01.2022
276,WCI124221,R308404,0,,28.02.2022
277,WCI124221,R308404,414,,21.03.2022
278,WCI124221,R308404,0,,28.03.2022
279,WCI124221,R308404,414,,02.05.2022
280,WCI124221,R308404,0,,09.05.2022
281,WCI124221,R308404,414,,23.05.2022
282,WCI124221,R308404,0,,20.06.2022
283,WCI124221,R308404,414,,11.07.2022
284,WCI124221,R308404,0,,18.07.2022
285,WCI124221,R308404,414,,25.07.2022
286,WCI124221,R308404,0,,08.08.2022
287,WCI124221,R308404,414,,05.09.2022
288,WCI124221,R308404,0,,26.09.2022
289,WCI124221,R308404,414,,31.10.2022
290,WCI124221,R308404,414,,01.11.2021
291,WCI124221,R308404,414,,15.11.2021
292,WCI124221,R308404,0,,06.12.2021
293,WCI124221,R308404,414,,20.12.2021
294,WCI124221,R308404,0,,03.01.2022
295,WCI124221,R308404,414,,10.01.2022
296,WCI124221,R308404,414,,07.02.2022
297,WCI124221,R308404,414,,07.03.2022
298,WCI124221,R308404,0,,21.03.2022
299,WCI124221,R308404,414,,04.04.2022
300,WCI124221,R308404,0,,18.04.2022
301,WCI124221,R308404,414,,09.05.2022
302,WCI124221,R308404,0,,23.05.2022
303,WCI124221,R308404,414,,13.06.2022
304,WCI124221,R308404,0,,11.07.2022
305,WCI124221,R308404,414,,01.08.2022
306,WCI124221,R308404,0,,05.09.2022
307,WCI124221,R308404,414,,01.11.2021
308,WCI124221,R308404,414,,15.11.2021
309,WCI124221,R308404,0,,22.11.2021
310,WCI124221,R308404,414,,27.12.2021
311,WCI124221,R308404,414,,31.01.2022
312,WCI124221,R308404,414,,07.03.2022
313,WCI124221,R308404,414,,11.04.2022
